Id_registro,Fecha,Proyecto,Area,Actividad,Manejo,Clase,Especie,Nombre_comun,Abundancia,Estado,Reubicado
74,2023-01-18,Proyecto Solar Alpha,Área 1,tránsito maquinaria,rescate,Reptilia,Chelonoidis carbonaria,Morrocoy,2,vivo,si
75,2023-01-18,Proyecto Solar Alpha,Área 1,inspección,ahuyentamiento,Mammalia,Tamandua mexicana,Oso hormiguero,4,vivo,
76,2023-01-19,Proyecto Solar Alpha,Área 3,tránsito maquinaria,ahuyentamiento,Aves,Ardea alba,Garza blanca,2,vivo,
77,2023-01-19,Proyecto Solar Alpha,Área 2,rocería,ahuyentamiento,Reptilia,Anolis auratus,Camaleoncito,4,vivo,
78,2023-01-19,Proyecto Solar Alpha,Área 1,tránsito maquinaria,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,4,vivo,
79,2023-01-19,Proyecto Solar Alpha,Área 1,obra civil,ahuyentamiento,Aves,Turdus ignobilis,Mirla,3,vivo,
80,2023-01-20,Proyecto Solar Alpha,Área 1,obra civil,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,2,vivo,
81,2023-01-20,Proyecto Solar Alpha,Área 3,obra civil,ahuyentamiento,Mammalia,Zygodontomys brevicauda,Ratón de caña,2,vivo,
82,2023-01-20,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Aves,Ardea alba,Garza blanca,4,vivo,
83,2023-01-20,Proyecto Solar Alpha,Área 2,obra civil,ahuyentamiento,Aves,Milvago chimachima,Caracara,4,vivo,
84,2023-01-21,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Reptilia,Chelonoidis carbonaria,Morrocoy,2,vivo,
85,2023-01-21,Proyecto Solar Alpha,Área 3,tránsito maquinaria,ahuyentamiento,Aves,Turdus ignobilis,Mirla,2,vivo,
86,2023-01-21,Proyecto Solar Alpha,Área 1,rocería,ahuyentamiento,Aves,Turdus ignobilis,Mirla,2,vivo,
87,2023-01-21,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Reptilia,Anolis auratus,Camaleoncito,2,vivo,
88,2023-01-22,Proyecto Solar Alpha,Área 1,inspección,rescate,Reptilia,Boa constrictor,Boa,4,vivo,si
89,2023-01-22,Proyecto Solar Alpha,Área 1,inspección,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,3,vivo,
90,2023-01-22,Proyecto Solar Alpha,Área 1,obra civil,ahuyentamiento,Reptilia,Crotalus durissus,Cascabel,3,vivo,
91,2023-01-22,Proyecto Solar Alpha,Área 1,inspección,ahuyentamiento,Mammalia,Didelphis marsupialis,Zarigüeya,2,vivo,
92,2023-01-23,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Reptilia,Iguana iguana,Iguana,3,vivo,
93,2023-01-23,Proyecto Solar Alpha,Área 3,tránsito maquinaria,ahuyentamiento,Aves,Milvago chimachima,Caracara,3,vivo,
94,2023-01-23,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Reptilia,Boa constrictor,Boa,3,vivo,
95,2023-01-23,Proyecto Solar Alpha,Área 1,tránsito maquinaria,ahuyentamiento,Aves,Coragyps atratus,Chulo,4,vivo,
96,2023-01-24,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,2,vivo,
97,2023-01-24,Proyecto Solar Alpha,Área 3,inspección,ahuyentamiento,Aves,Turdus ignobilis,Mirla,2,vivo,
98,2023-01-24,Proyecto Solar Alpha,Área 2,rocería,ahuyentamiento,Aves,Milvago chimachima,Caracara,2,vivo,
99,2023-01-24,Proyecto Solar Alpha,Área 1,obra civil,ahuyentamiento,Reptilia,Anolis auratus,Camaleoncito,3,vivo,
100,2023-01-25,Proyecto Solar Alpha,Área 2,inspección,ahuyentamiento,Aves,Ardea alba,Garza blanca,4,vivo,
101,2023-01-25,Proyecto Solar Alpha,Área 2,obra civil,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,2,vivo,
102,2023-01-25,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Reptilia,Iguana iguana,Iguana,4,vivo,
103,2023-01-25,Proyecto Solar Alpha,Área 2,rocería,ahuyentamiento,Aves,Milvago chimachima,Caracara,4,vivo,
104,2023-01-26,Proyecto Solar Alpha,Área 3,obra civil,ahuyentamiento,Aves,Milvago chimachima,Caracara,4,vivo,
105,2023-01-26,Proyecto Solar Alpha,Área 3,inspección,ahuyentamiento,Aves,Coragyps atratus,Chulo,3,vivo,
106,2023-01-26,Proyecto Solar Alpha,Área 2,tránsito maquinaria,ahuyentamiento,Aves,Turdus ignobilis,Mirla,2,vivo,
107,2023-01-26,Proyecto Solar Alpha,Área 2,inspección,ahuyentamiento,Reptilia,Anolis auratus,Camaleoncito,2,vivo,
108,2023-01-26,Proyecto Solar Alpha,Área 3,obra civil,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,2,vivo,
109,2023-01-27,Proyecto Solar Alpha,Área 3,tránsito maquinaria,ahuyentamiento,Aves,Ardea alba,Garza blanca,2,vivo,
110,2023-01-27,Proyecto Solar Alpha,Área 3,tránsito maquinaria,ahuyentamiento,Aves,Milvago chimachima,Caracara,4,vivo,
111,2023-01-27,Proyecto Solar Alpha,Área 1,obra civil,rescate,Reptilia,Anolis auratus,Camaleoncito,3,vivo,si
112,2023-01-27,Proyecto Solar Alpha,Área 3,obra civil,ahuyentamiento,Aves,Coragyps atratus,Chulo,2,vivo,
113,2023-01-28,Proyecto Solar Alpha,Área 3,obra civil,ahuyentamiento,Aves,Coragyps atratus,Chulo,3,vivo,
114,2023-01-28,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Reptilia,Chelonoidis carbonaria,Morrocoy,2,vivo,
115,2023-01-28,Proyecto Solar Alpha,Área 2,tránsito maquinaria,ahuyentamiento,Aves,Milvago chimachima,Caracara,3,vivo,
116,2023-01-28,Proyecto Solar Alpha,Área 3,obra civil,ahuyentamiento,Reptilia,Iguana iguana,Iguana,4,vivo,
117,2023-01-29,Proyecto Solar Alpha,Área 3,tránsito maquinaria,ahuyentamiento,Aves,Turdus ignobilis,Mirla,3,vivo,
118,2023-01-29,Proyecto Solar Alpha,Área 3,tránsito maquinaria,rescate,Reptilia,Anolis auratus,Camaleoncito,4,vivo,si
119,2023-01-29,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Aves,Ardea alba,Garza blanca,3,vivo,
120,2023-01-29,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Aves,Ardea alba,Garza blanca,3,vivo,
121,2023-01-30,Proyecto Solar Alpha,Área 2,inspección,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,2,vivo,
122,2023-01-30,Proyecto Solar Alpha,Área 2,obra civil,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,2,vivo,
123,2023-01-30,Proyecto Solar Alpha,Área 2,rocería,rescate,Reptilia,Erythrolamprus bizona,Culebra,3,vivo,si
124,2023-01-30,Proyecto Solar Alpha,Área 1,obra civil,rescate,Reptilia,Boa constrictor,Boa,4,vivo,si
125,2023-01-31,Proyecto Solar Alpha,Área 3,inspección,ahuyentamiento,Reptilia,Crotalus durissus,Cascabel,4,vivo,
126,2023-01-31,Proyecto Solar Alpha,Área 2,obra civil,ahuyentamiento,Reptilia,Erythrolamprus bizona,Culebra,2,vivo,
127,2023-01-31,Proyecto Solar Alpha,Área 2,tránsito maquinaria,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,2,vivo,
128,2023-01-31,Proyecto Solar Alpha,Área 2,tránsito maquinaria,rescate,Reptilia,Chelonoidis carbonaria,Morrocoy,4,vivo,si
129,2023-02-01,Proyecto Solar Alpha,Área 1,rocería,ahuyentamiento,Aves,Ardea alba,Garza blanca,4,vivo,
130,2023-02-01,Proyecto Solar Alpha,Área 1,obra civil,ahuyentamiento,Aves,Turdus ignobilis,Mirla,3,vivo,
131,2023-02-01,Proyecto Solar Alpha,Área 2,obra civil,rescate,Reptilia,Anolis auratus,Camaleoncito,2,vivo,si
132,2023-02-01,Proyecto Solar Alpha,Área 2,obra civil,ahuyentamiento,Reptilia,Anolis auratus,Camaleoncito,3,vivo,
133,2023-02-02,Proyecto Solar Alpha,Área 1,rocería,rescate,Reptilia,Iguana iguana,Iguana,3,vivo,si
134,2023-02-02,Proyecto Solar Alpha,Área 1,tránsito maquinaria,ahuyentamiento,Aves,Ardea alba,Garza blanca,2,vivo,
135,2023-02-02,Proyecto Solar Alpha,Área 1,tránsito maquinaria,ahuyentamiento,Aves,Milvago chimachima,Caracara,2,vivo,
136,2023-02-02,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,2,vivo,
137,2023-02-03,Proyecto Solar Alpha,Área 2,rocería,ahuyentamiento,Reptilia,Boa constrictor,Boa,3,vivo,
138,2023-02-03,Proyecto Solar Alpha,Área 3,inspección,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,4,vivo,
139,2023-02-03,Proyecto Solar Alpha,Área 1,inspección,ahuyentamiento,Aves,Ardea alba,Garza blanca,2,vivo,
140,2023-02-03,Proyecto Solar Alpha,Área 1,obra civil,ahuyentamiento,Aves,Ardea alba,Garza blanca,2,vivo,
141,2023-02-03,Proyecto Solar Alpha,Área 1,tránsito maquinaria,ahuyentamiento,Aves,Ardea alba,Garza blanca,3,vivo,
142,2023-02-04,Proyecto Solar Alpha,Área 3,rocería,rescate,Reptilia,Anolis auratus,Camaleoncito,2,vivo,si
143,2023-02-04,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Aves,Ardea alba,Garza blanca,3,vivo,
144,2023-02-04,Proyecto Solar Alpha,Área 3,tránsito maquinaria,ahuyentamiento,Aves,Milvago chimachima,Caracara,2,vivo,
145,2023-02-04,Proyecto Solar Alpha,Área 1,inspección,ahuyentamiento,Aves,Milvago chimachima,Caracara,3,vivo,
146,2023-02-05,Proyecto Solar Alpha,Área 1,obra civil,rescate,Reptilia,Boa constrictor,Boa,4,vivo,si
147,2023-02-05,Proyecto Solar Alpha,Área 1,inspección,ahuyentamiento,Aves,Coragyps atratus,Chulo,3,vivo,
148,2023-02-05,Proyecto Solar Alpha,Área 1,rocería,ahuyentamiento,Reptilia,Boa constrictor,Boa,4,vivo,
149,2023-02-05,Proyecto Solar Alpha,Área 2,rocería,rescate,Mammalia,Tamandua mexicana,Oso hormiguero,2,vivo,si
150,2023-02-06,Proyecto Solar Alpha,Área 1,inspección,ahuyentamiento,Aves,Coragyps atratus,Chulo,3,vivo,
151,2023-02-06,Proyecto Solar Alpha,Área 2,tránsito maquinaria,ahuyentamiento,Aves,Coragyps atratus,Chulo,3,vivo,
152,2023-02-06,Proyecto Solar Alpha,Área 3,obra civil,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,4,vivo,
153,2023-02-06,Proyecto Solar Alpha,Área 1,tránsito maquinaria,ahuyentamiento,Reptilia,Boa constrictor,Boa,3,vivo,
154,2023-02-07,Proyecto Solar Alpha,Área 1,rocería,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,3,vivo,
155,2023-02-07,Proyecto Solar Alpha,Área 3,tránsito maquinaria,rescate,Mammalia,Didelphis marsupialis,Zarigüeya,3,vivo,si
156,2023-02-07,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Reptilia,Anolis auratus,Camaleoncito,4,vivo,
157,2023-02-07,Proyecto Solar Alpha,Área 2,obra civil,ahuyentamiento,Reptilia,Anolis auratus,Camaleoncito,2,vivo,
158,2023-02-08,Proyecto Solar Alpha,Área 2,inspección,ahuyentamiento,Aves,Coragyps atratus,Chulo,4,vivo,
159,2023-02-08,Proyecto Solar Alpha,Área 3,obra civil,ahuyentamiento,Aves,Milvago chimachima,Caracara,4,vivo,
160,2023-02-08,Proyecto Solar Alpha,Área 2,rocería,rescate,Amphibia,Hypsiboas crepitans,Rana arborícola,3,vivo,si
161,2023-02-08,Proyecto Solar Alpha,Área 1,inspección,ahuyentamiento,Aves,Ardea alba,Garza blanca,4,vivo,
162,2023-02-09,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,4,vivo,
163,2023-02-09,Proyecto Solar Alpha,Área 2,obra civil,rescate,Amphibia,Rhinella marina,Sapo común,2,vivo,si
164,2023-02-09,Proyecto Solar Alpha,Área 2,inspección,ahuyentamiento,Mammalia,Dasypus novemcinctus,Armadillo,2,vivo,
165,2023-02-09,Proyecto Solar Alpha,Área 1,tránsito maquinaria,rescate,Amphibia,Leptodactylus fragilis,Rana,4,vivo,si
166,2023-02-10,Proyecto Solar Alpha,Área 2,inspección,ahuyentamiento,Reptilia,Chelonoidis carbonaria,Morrocoy,3,vivo,
167,2023-02-10,Proyecto Solar Alpha,Área 3,tránsito maquinaria,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,3,vivo,
168,2023-02-10,Proyecto Solar Alpha,Área 2,inspección,ahuyentamiento,Aves,Coragyps atratus,Chulo,4,vivo,
169,2023-02-10,Proyecto Solar Alpha,Área 3,inspección,ahuyentamiento,Reptilia,Erythrolamprus bizona,Culebra,3,vivo,
170,2023-02-11,Proyecto Solar Alpha,Área 1,obra civil,ahuyentamiento,Reptilia,Erythrolamprus bizona,Culebra,3,vivo,
171,2023-02-11,Proyecto Solar Alpha,Área 2,rocería,ahuyentamiento,Reptilia,Iguana iguana,Iguana,3,vivo,
172,2023-02-11,Proyecto Solar Alpha,Área 2,obra civil,ahuyentamiento,Reptilia,Iguana iguana,Iguana,2,vivo,
173,2023-02-11,Proyecto Solar Alpha,Área 2,rocería,ahuyentamiento,Reptilia,Boa constrictor,Boa,3,vivo,
174,2023-02-12,Proyecto Solar Alpha,Área 3,tránsito maquinaria,rescate,Reptilia,Erythrolamprus bizona,Culebra,2,vivo,si
175,2023-02-12,Proyecto Solar Alpha,Área 1,obra civil,ahuyentamiento,Aves,Coragyps atratus,Chulo,3,vivo,
176,2023-02-12,Proyecto Solar Alpha,Área 2,obra civil,ahuyentamiento,Aves,Milvago chimachima,Caracara,3,vivo,
177,2023-02-12,Proyecto Solar Alpha,Área 1,rocería,ahuyentamiento,Reptilia,Chelonoidis carbonaria,Morrocoy,2,vivo,
178,2023-02-12,Proyecto Solar Alpha,Área 3,inspección,ahuyentamiento,Aves,Ardea alba,Garza blanca,4,vivo,
179,2023-02-13,Proyecto Solar Alpha,Área 3,tránsito maquinaria,ahuyentamiento,Aves,Turdus ignobilis,Mirla,3,vivo,
180,2023-02-13,Proyecto Solar Alpha,Área 1,tránsito maquinaria,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,4,vivo,
181,2023-02-13,Proyecto Solar Alpha,Área 1,obra civil,ahuyentamiento,Aves,Milvago chimachima,Caracara,2,vivo,
182,2023-02-13,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Aves,Milvago chimachima,Caracara,4,vivo,
183,2023-02-14,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Reptilia,Iguana iguana,Iguana,3,vivo,
184,2023-02-14,Proyecto Solar Alpha,Área 1,inspección,ahuyentamiento,Aves,Coragyps atratus,Chulo,3,vivo,
185,2023-02-14,Proyecto Solar Alpha,Área 1,tránsito maquinaria,ahuyentamiento,Reptilia,Iguana iguana,Iguana,2,vivo,
186,2023-02-14,Proyecto Solar Alpha,Área 3,obra civil,ahuyentamiento,Aves,Coragyps atratus,Chulo,4,vivo,
187,2023-02-15,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Aves,Milvago chimachima,Caracara,2,vivo,
188,2023-02-15,Proyecto Solar Alpha,Área 1,obra civil,rescate,Reptilia,Boa constrictor,Boa,3,vivo,si
189,2023-02-15,Proyecto Solar Alpha,Área 3,tránsito maquinaria,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,3,vivo,
190,2023-02-15,Proyecto Solar Alpha,Área 2,obra civil,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,2,vivo,
191,2023-02-16,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Aves,Milvago chimachima,Caracara,4,vivo,
192,2023-02-16,Proyecto Solar Alpha,Área 1,inspección,ahuyentamiento,Aves,Coragyps atratus,Chulo,2,vivo,
193,2023-02-16,Proyecto Solar Alpha,Área 3,inspección,ahuyentamiento,Reptilia,Iguana iguana,Iguana,3,vivo,
194,2023-02-16,Proyecto Solar Alpha,Área 1,rocería,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,3,vivo,
195,2023-02-17,Proyecto Solar Alpha,Área 1,rocería,ahuyentamiento,Reptilia,Chelonoidis carbonaria,Morrocoy,4,vivo,
196,2023-02-17,Proyecto Solar Alpha,Área 1,obra civil,ahuyentamiento,Aves,Ardea alba,Garza blanca,3,vivo,
197,2023-02-17,Proyecto Solar Alpha,Área 1,rocería,ahuyentamiento,Aves,Milvago chimachima,Caracara,3,vivo,
198,2023-02-17,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Aves,Coragyps atratus,Chulo,2,vivo,
199,2023-02-18,Proyecto Solar Alpha,Área 2,rocería,ahuyentamiento,Reptilia,Chelonoidis carbonaria,Morrocoy,4,vivo,
200,2023-02-18,Proyecto Solar Alpha,Área 1,obra civil,ahuyentamiento,Aves,Coragyps atratus,Chulo,4,vivo,
201,2023-02-18,Proyecto Solar Alpha,Área 2,rocería,rescate,Reptilia,Iguana iguana,Iguana,3,vivo,si
202,2023-02-18,Proyecto Solar Alpha,Área 1,inspección,ahuyentamiento,Aves,Turdus ignobilis,Mirla,4,vivo,
203,2023-02-19,Proyecto Solar Alpha,Área 3,tránsito maquinaria,ahuyentamiento,Aves,Coragyps atratus,Chulo,3,vivo,
